Bangladesh medical journal	Bangladesh Med J	Bangladesh. Med. J.
Journal of health & population in developing countries	J Health Popul Dev Ctries	J. Health. Popul. Dev. Ctries.
American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists	Am J Health Syst Pharm	Am. J. Health. Syst. Pharm.
Paideuma	Paideuma (Wiesb)	Paideuma. (Wiesb).
Journal de la Societe de biologie	J Soc Biol	J. Soc. Biol.
Contact point	Contact Point	Contact. Point.
Feminist studies : FS	Fem Stud	Fem. Stud.
The Indiana nurse	Indiana Nurse	Indiana. Nurse.
Electronic journal of biotechnology : EJB	Electron J Biotechnol	Electron. J. Biotechnol.
Fiscal studies	Fisc Stud	Fisc. Stud.
Geological magazine	Geol Mag	Geol. Mag.
Kona : powder science and technology in Japan	Kona	Kona.
Nebraska Symposium on Motivation. Nebraska Symposium on Motivation	Nebr Symp Motiv	Nebr. Symp. Motiv.
Current psychiatry reports	Curr Psychiatry Rep	Curr. Psychiatry. Rep.
Nanr News	NANR News	NANR. News.
The Journal of the Rutgers University Library	J Rutgers Univ Libr	J. Rutgers. Univ. Libr.
NADA (Salisbury, Zimbabwe)	NADA	NADA.
American journal of hematology/oncology	Am J Hematol Oncol	Am. J. Hematol. Oncol.
Endocrinology and metabolism (Seoul, Korea)	Endocrinol Metab (Seoul)	Endocrinol. Metab. (Seoul).
Journal of biochemistry	J Biochem	J. Biochem.
The Journal of school health	J Sch Health	J. Sch. Health.
The New law journal	New Law J	New. Law. J.
Behavioral neuropsychiatry	Behav Neuropsychiatry	Behav. Neuropsychiatry.
Canadian journal of otolaryngology	Can J Otolaryngol	Can. J. Otolaryngol.
Cancer research frontiers	Cancer Res Front	Cancer. Res. Front.
Seminars in immunopathology	Semin Immunopathol	Semin. Immunopathol.
Nederlands tijdschrift voor tandheelkunde	Ned Tijdschr Tandheelkd	Ned. Tijdschr. Tandheelkd.
Plastic and reconstructive surgery (1946)	Plast Reconstr Surg (1946)	Plast. Reconstr. Surg. (1946).
The Johns Hopkins medical letter health after 50	Johns Hopkins Med Lett Health After 50	Johns. Hopkins. Med. Lett. Health. After. 50.
Arquivos brasileiros de psicologia	Arq Bras Psicol	Arq. Bras. Psicol.
Social work in health care	Soc Work Health Care	Soc. Work. Health. Care.
Zhongguo zhen jiu = Chinese acupuncture & moxibustion	Zhongguo Zhen Jiu	Zhongguo. Zhen. Jiu.
Bulletin. Scientific issue. Huron Road Hospital	Bull Sci Issue	Bull. Sci. Issue.
Umwelt und gesundheit online	Umw Gesundh Online	Umw. Gesundh. Online.
Journal of scientific and industrial research	J Sci Ind Res (India)	J. Sci. Ind. Res. (India).
The open nutraceuticals journal	Open Nutraceuticals J	Open. Nutraceuticals. J.
Jahrbuch des Vereins fur Geschichte der Stadt Wien. Verein fur Geschichte der Stadt Wien	Jahrb Vereins Gesch Stadt Wien	Jahrb. Vereins. Gesch. Stadt. Wien.
NeuroRehabilitation	NeuroRehabilitation	NeuroRehabilitation.
mSphere	mSphere	mSphere.
Adolescent & family health : A & FH	Adolesc Fam Health	Adolesc. Fam. Health.
Asian journal of gambling issues and public health	Asian J Gambl Issues Public Health	Asian. J. Gambl. Issues. Public. Health.
The Ceylon medical journal	Ceylon Med J	Ceylon. Med. J.
DNA repair	DNA Repair (Amst)	DNA. Repair. (Amst).
Sairaanhoitaja. Sjukskoterskan	Sairaanhoitaja	Sairaanhoitaja.
New Zealand veterinary journal	N Z Vet J	N. Z. Vet. J.
Evolution	Evolution (N Y)	Evolution. (N. Y).
MicroRNA (Shariqah, United Arab Emirates)	Microrna	Microrna.
JSAC grapevine. Joint Strategy and Action Committee (New York, N.Y.)	JSAC Grapevine	JSAC. Grapevine.
Ginecologia clinica	Ginecol Clin	Ginecol. Clin.
Annals of hepato-biliary-pancreatic surgery	Ann Hepatobiliary Pancreat Surg	Ann. Hepatobiliary. Pancreat. Surg.
Journal - American Health Care Association	J Am Health Care Assoc	J. Am. Health. Care. Assoc.
Kroc Foundation series	Kroc Found Ser	Kroc. Found. Ser.
The Columbia journal of world business	Columbia J World Bus	Columbia. J. World. Bus.
Bulletin de la Societe archeologique et historique du Limousin	Bull Soc Archeol Hist Limousin	Bull. Soc. Archeol. Hist. Limousin.
Asian Pacific journal of cancer prevention : APJCP	Asian Pac J Cancer Prev	Asian. Pac. J. Cancer. Prev.
Travaux des Laboratoires de matiere medicale et de pharmacie galenique de la Faculte de pharmacie de Paris	Trav Lab Matiere Med Pharm Galenique Fac Pharm Paris	Trav. Lab. Matiere. Med. Pharm. Galenique. Fac. Pharm. Paris.
JMIR mental health	JMIR Ment Health	JMIR. Ment. Health.
Archives of medical research	Arch Med Res	Arch. Med. Res.
Tissue barriers	Tissue Barriers	Tissue. Barriers.
The open geriatric medicine journal	Open Geriatr Med J	Open. Geriatr. Med. J.
Auris, nasus, larynx	Auris Nasus Larynx	Auris. Nasus. Larynx.
Annales de l'Institut Pasteur. Microbiologie	Ann Inst Pasteur Microbiol (1985)	Ann. Inst. Pasteur. Microbiol. (1985).
International journal of environmental & agriculture research	Int J Environ Agric Res	Int. J. Environ. Agric. Res.
Revista medica de Valparaiso	Rev Med Valparaiso	Rev. Med. Valparaiso.
European journal of cancer care	Eur J Cancer Care (Engl)	Eur. J. Cancer. Care. (Engl).
Newsletter - Family Planning International Assistance. Planned Parenthood Federation of America. Family Planning International Assistance	Newsl Fam Plan Int Assist	Newsl. Fam. Plan. Int. Assist.
Hektoen international : a journal of medical humanities	Hektoen Int	Hektoen. Int.
American laundry digest	Am Laund Dig	Am. Laund. Dig.
Detroit in perspective	Detroit Perspect	Detroit. Perspect.
Chemtracts	Chemtracts	Chemtracts.
Africa : notiziario dell'Associazione fra le imprese italiane in Africa	Africa	Africa.
Vital and health statistics. Series 21, Data from the National Vital Statistics System	Vital Health Stat 21	Vital. Health. Stat. 21.
Evening sun (Baltimore, Md.)	Evening Sun	Evening. Sun.
The American journal of family therapy	Am J Fam Ther	Am. J. Fam. Ther.
Majallat tibb al-asnan al-Suriyah	Majallat Tibb Alasnan Alsuriyah	Majallat. Tibb. Alasnan. Alsuriyah.
Ethiopian journal of health sciences	Ethiop J Health Sci	Ethiop. J. Health. Sci.
Raumforschung und Raumordnung	Raumforsch Raumordn	Raumforsch. Raumordn.
Rhode Island history	R I Hist	R. I. Hist.
Latin American population history newsletter	Lat Am Popul Hist News	Lat. Am. Popul. Hist. News.
Pathogens & immunity	Pathog Immun	Pathog. Immun.
Health and human rights	Health Hum Rights	Health. Hum. Rights.
Militargeschichtliche Zeitschrift	Militargesch Z	Militargesch. Z.
Signal transduction and targeted therapy	Signal Transduct Target Ther	Signal. Transduct. Target. Ther.
Clinical excellence for nurse practitioners : the international journal of NPACE	Clin Excell Nurse Pract	Clin. Excell. Nurse. Pract.
Tuberkuloz ve toraks	Tuberk Toraks	Tuberk. Toraks.
Advances in orthopedics	Adv Orthop	Adv. Orthop.
Journal of Hispanic higher education	J Hispanic High Educ	J. Hispanic. High. Educ.
Clinical anatomy (New York, N.Y.)	Clin Anat	Clin. Anat.
Social work in public health	Soc Work Public Health	Soc. Work. Public. Health.
Physiology & pharmacology for physicians	Physiol Pharmacol Physicians	Physiol. Pharmacol. Physicians.
MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports	MMWR Recomm Rep	MMWR. Recomm. Rep.
Publicaciones. Buenos Aires (Argentina). Centro de Investigaciones Tisiologicas	Publ B Aires Cent Investig	Publ. B. Aires. Cent. Investig.
Speculum	Speculum	Speculum.
Radio science	Radio Sci	Radio. Sci.
Rutgers computer & technology law journal	Rutgers Comput Technol Law J	Rutgers. Comput. Technol. Law. J.
The Sydney law review	Syd Law Rev	Syd. Law. Rev.
Nichidai igaku zasshi	Nichidai Igaku Zasshi	Nichidai. Igaku. Zasshi.
Journal of clinical microbiology	J Clin Microbiol	J. Clin. Microbiol.
Vital and health statistics. Series 5, Comparative international vital and health statistics reports	Vital Health Stat 5	Vital. Health. Stat. 5.
Archives of STD/HIV research	Arch STD HIV Res	Arch. STD. HIV. Res.
Virology reports	Virol Rep	Virol. Rep.
Journal of peptide science : an official publication of the European Peptide Society	J Pept Sci	J. Pept. Sci.
Neurologisch : fachmagazin fur neurologie	Neurologisch (Wien)	Neurologisch. (Wien).
Informationen zur Raumentwicklung	Inf Raumentwickl	Inf. Raumentwickl.
Aquatic insects		.
Translational science	Transl Sci	Transl. Sci.
Breast cancer (Tokyo, Japan)	Breast Cancer	Breast. Cancer.
Nutrients	Nutrients	Nutrients.
Current trends in medicinal chemistry	Curr Trends Med Chem	Curr. Trends. Med. Chem.
Advances in applied mathematics	Adv Appl Math	Adv. Appl. Math.
International journal of applied science and technology	Int J Appl Sci Technol	Int. J. Appl. Sci. Technol.
Revue francaise d'endodontie : publication officielle de la Societe francaise d'endodontie	Rev Fr Endod	Rev. Fr. Endod.
Applied psychology. Health and well-being	Appl Psychol Health Well Being	Appl. Psychol. Health. Well. Being.
Bulletin - Texas Nurses Association	Bull Tex Nurses Assoc	Bull. Tex. Nurses. Assoc.
Database theory-- ICDT : International Conference ... proceedings. International Conference on Database Theory	Database Theory ICDT	Database. Theory. ICDT.
Ekologicheskaia genetika		.
Progress in particle and nuclear physics	Prog Part Nucl Phys	Prog. Part. Nucl. Phys.
Business insurance	Bus Insur	Bus. Insur.
Lutheran theological journal	Lutheran Theol J	Lutheran. Theol. J.
Journal. Louisiana. State University and Agricultural and Mechanical College. School of Medicine	J La State Univ Agric Mech Coll	J. La. State. Univ. Agric. Mech. Coll.
Collected works on cardio-pulmonary disease	Coll Works Cardiopulm Dis	Coll. Works. Cardiopulm. Dis.
Applications in plant sciences	Appl Plant Sci	Appl. Plant. Sci.
ISBT science series	ISBT Sci Ser	ISBT. Sci. Ser.
Surgical and radiologic anatomy : SRA	Surg Radiol Anat	Surg. Radiol. Anat.
Harper's	Harpers (N Y N Y)	Harpers. (N. Y. N. Y).
ISRA 2013	ISRA 2013 (2013)	ISRA. 2013. (2013).
Autoimmunity reviews	Autoimmun Rev	Autoimmun. Rev.
Zeitschrift fur Kreislaufforschung	Z Kreislaufforsch	Z. Kreislaufforsch.
International journal of clinical pediatric dentistry	Int J Clin Pediatr Dent	Int. J. Clin. Pediatr. Dent.
Journal de la Societe francaise de statistique (2009)	J Soc Fr Statistique (2009)	J. Soc. Fr. Statistique. (2009).
Journal of urban law	J Urban Law	J. Urban. Law.
Yearbook of medical informatics	Yearb Med Inform	Yearb. Med. Inform.
Journal of nanomaterials	J Nanomater	J. Nanomater.
Journal of physical education (Dayton, Ohio)	J Phys Educ	J. Phys. Educ.
The Dental magazine and oral topics	Dent Mag Oral Top	Dent. Mag. Oral. Top.
NATNews	NATNEWS	NATNEWS.
Theory, culture & society	Theory Cult Soc	Theory. Cult. Soc.
Ophthalmic surgery, lasers & imaging retina	Ophthalmic Surg Lasers Imaging Retina	Ophthalmic. Surg. Lasers. Imaging. Retina.
Kyklos : international review for social sciences	Kyklos (Oxford)	Kyklos. (Oxford).
Canadian journal of earth sciences	Can J Earth Sci	Can. J. Earth. Sci.
Zhonghua wei zhong bing ji jiu yi xue	Zhonghua Wei Zhong Bing Ji Jiu Yi Xue	Zhonghua. Wei. Zhong. Bing. Ji. Jiu. Yi. Xue.
Cahiers d'anesthesiologie	Cah Anesthesiol	Cah. Anesthesiol.
Historische Sozialforschung = Historical social research	Hist Soz Forsch	Hist. Soz. Forsch.
World journal for pediatric & congenital heart surgery	World J Pediatr Congenit Heart Surg	World. J. Pediatr. Congenit. Heart. Surg.
Pulmonary medicine	Pulm Med	Pulm. Med.
Indian journal of psychiatry	Indian J Psychiatry	Indian. J. Psychiatry.
Quarterly journal of the Royal Meteorological Society. Royal Meteorological Society (Great Britain)	Q J R Meteorol Soc	Q. J. R. Meteorol. Soc.
Archivos de la Sociedad Oftalmologica Hispano-Americana	Archivos Soc Oftalmol Hisp Am	Archivos. Soc. Oftalmol. Hisp. Am.
International journal of clinical pharmacology, therapy and toxicology	Int J Clin Pharmacol	Int. J. Clin. Pharmacol.
Catalysis reviews, science and engineering	Catal Rev Sci Eng	Catal. Rev. Sci. Eng.
Acta histochemica. Supplementband	Acta Histochem Suppl	Acta. Histochem. Suppl.
Medika; informativni casopis farmaceutiskih poduzeca NRH	Medika (Zagreb)	Medika. (Zagreb).
International biodeterioration & biodegradation	Int Biodeterior Biodegradation	Int. Biodeterior. Biodegradation.
NCSL International measure	NCSL Int Meas	NCSL. Int. Meas.
ISRN dermatology	ISRN Dermatol	ISRN. Dermatol.
Man in India	Man India	Man. India.
Eating behaviors	Eat Behav	Eat. Behav.
Sociology of religion	Sociol Relig	Sociol. Relig.
The open biomarkers journal	Open Biomark J	Open. Biomark. J.
Revista medica de Chile	Rev Med Chil	Rev. Med. Chil.
Clinics in endocrinology and metabolism	Clin Endocrinol Metab	Clin. Endocrinol. Metab.
Proceedings of the European Dialysis and Transplant Association - European Renal Association. European Dialysis and Transplant Association - European Renal Association. Congress	Proc Eur Dial Transplant Assoc Eur Ren Assoc	Proc. Eur. Dial. Transplant. Assoc. Eur. Ren. Assoc.
Philologus	Philologus	Philologus.
Archivos del Colegio Medico de El Salvador	Arch Col Med El Salv	Arch. Col. Med. El. Salv.
Pakistan journal of medical sciences	Pak J Med Sci	Pak. J. Med. Sci.
Management world	Manage World	Manage. World.
Advances in comparative physiology and biochemistry	Adv Comp Physiol Biochem	Adv. Comp. Physiol. Biochem.
Journal of environmental psychology	J Environ Psychol	J. Environ. Psychol.
Science in China. Series C, Life sciences	Sci China C Life Sci	Sci. China. C. Life. Sci.
Combinatorial chemistry & high throughput screening	Comb Chem High Throughput Screen	Comb. Chem. High. Throughput. Screen.
Lymphokine research	Lymphokine Res	Lymphokine. Res.
Journal of prosthodontics : official journal of the American College of Prosthodontists	J Prosthodont	J. Prosthodont.
Tropical gastroenterology : official journal of the Digestive Diseases Foundation	Trop Gastroenterol	Trop. Gastroenterol.
The British journal of nutrition	Br J Nutr	Br. J. Nutr.
Annals of neurosciences	Ann Neurosci	Ann. Neurosci.
Critical reviews in analytical chemistry	Crit Rev Anal Chem	Crit. Rev. Anal. Chem.
Journal of magnetism and magnetic materials	J Magn Magn Mater	J. Magn. Magn. Mater.
Clinical diabetes : a publication of the American Diabetes Association	Clin Diabetes	Clin. Diabetes.
Zhonghua er bi yan hou ke za zhi	Zhonghua Er Bi Yan Hou Ke Za Zhi	Zhonghua. Er. Bi. Yan. Hou. Ke. Za. Zhi.
Publicacoes medicas	Publicacoes Med	Publicacoes. Med.
Philippine quarterly of culture and society	Philipp Q Cult Soc	Philipp. Q. Cult. Soc.
A.M.A. archives of neurology	AMA Arch Neurol	AMA. Arch. Neurol.
Anales de medicina	An Med (Barc)	An. Med. (Barc).
The Devon historian	Devon Hist	Devon. Hist.
Neuropsihijatrija	Neuropsihijatrija	Neuropsihijatrija.
International transactions in operational research : a journal of The International Federation of Operational Research Societies	Int Trans Oper Res	Int. Trans. Oper. Res.
The British journal of medical psychology	Br J Med Psychol	Br. J. Med. Psychol.
International journal of chemistry	Int J Chem	Int. J. Chem.
Annual review of environment and resources	Annu Rev Environ Resour	Annu. Rev. Environ. Resour.
The Florida Bar journal	FLA Bar J	FLA. Bar. J.
Media & gender monitor	Media Gend Monit	Media. Gend. Monit.
Revue geographique des Pyrenees et du Sud-Ouest	Rev Geogr Pyren Sud Ouest	Rev. Geogr. Pyren. Sud. Ouest.
Les Cahiers de l'Iroise	Cah Iroise	Cah. Iroise.
Explore (New York, N.Y.)	Explore (NY)	Explore. (NY).
International journal of pharmaceutical compounding	Int J Pharm Compd	Int. J. Pharm. Compd.
Compendium (Newtown, Pa.). Supplement	Compend Suppl	Compend. Suppl.
The A-V	AV (Phila)	AV. (Phila).
The Journal of communication	J Commun	J. Commun.
Plasma sources science & technology	Plasma Sources Sci Technol	Plasma. Sources. Sci. Technol.
Opera medica et physiologica	Opera Med Physiol	Opera. Med. Physiol.
Journal of medical oncology and therapeutics	J Med Oncol Ther	J. Med. Oncol. Ther.
Chudoku kenkyu : Chudoku Kenkyukai jun kikanshi = The Japanese journal of toxicology	Chudoku Kenkyu	Chudoku. Kenkyu.
Rassegna trimestrale di odontoiatria	Rass Trimest Odontoiatr	Rass. Trimest. Odontoiatr.
Laboratory animal science professional	Lab Animal Sci Prof	Lab. Animal. Sci. Prof.
Revista brasileira de anestesiologia	Rev Bras Anestesiol	Rev. Bras. Anestesiol.
The Journal of clinical pediatric dentistry	J Clin Pediatr Dent	J. Clin. Pediatr. Dent.
Physician relations update	Physician Relat Update	Physician. Relat. Update.
Tufts health science review	Tufts Health Sci Rev	Tufts. Health. Sci. Rev.
Advances in experimental social psychology	Adv Exp Soc Psychol	Adv. Exp. Soc. Psychol.
The South African journal of African affairs	S Afr J Afr Aff	S. Afr. J. Afr. Aff.
Photoacoustics	Photoacoustics	Photoacoustics.
Ce Focus	CE Focus	CE. Focus.
Frontiers of hormone research	Front Horm Res	Front. Horm. Res.
Aktuelle Urologie	Aktuelle Urol	Aktuelle. Urol.
ADA news	ADA News	ADA. News.
La Provence medicale	Prov Med	Prov. Med.
Materia medica greca	Mater Med Greca	Mater. Med. Greca.
The Journal of family practice	J Fam Pract	J. Fam. Pract.
Theoria	Theoria	Theoria.
Canadian chemical transactions	Can Chem Trans	Can. Chem. Trans.
Liguorian	Liguorian	Liguorian.
Medical & biological illustration	Med Biol Illus	Med. Biol. Illus.
Journal of English linguistics	J Eng Linguist	J. Eng. Linguist.
Journal of medical engineering	J Med Eng	J. Med. Eng.
Journal of vertebrate paleontology	J Vertebr Paleontol	J. Vertebr. Paleontol.
American journal of optometry and physiological optics	Am J Optom Physiol Opt	Am. J. Optom. Physiol. Opt.
Membranes	Membranes (Basel)	Membranes. (Basel).
Trends in biotechnology	Trends Biotechnol	Trends. Biotechnol.
Bulletin (American Association for the History of Nursing)	Bull Am Assoc Hist Nurs	Bull. Am. Assoc. Hist. Nurs.
Research and clinical studies in headache	Res Clin Stud Headache	Res. Clin. Stud. Headache.
Aggiornamenti in ostetricia e ginecologia	Aggiorn Ostet Ginecol	Aggiorn. Ostet. Ginecol.
Science Of Biology Journal	Sci Bio J	Sci. Bio. J.
The Journal of the Canadian Chiropractic Association	J Can Chiropr Assoc	J. Can. Chiropr. Assoc.
Bulletin of the Psychonomic Society	Bull Psychon Soc	Bull. Psychon. Soc.
Caribbean quarterly	Caribb Q	Caribb. Q.
Acta iberica radiologica-cancerologica	Acta Iber Radiol Cancerol	Acta. Iber. Radiol. Cancerol.
Le Corps medical	Corps Med (Ettelbruck)	Corps. Med. (Ettelbruck).
Home hemodialysis international. International Symposium on Home Hemodialysis	Home Hemodial Int	Home. Hemodial. Int.
Mediaevalia philosophica polonorum	Mediaev Philos Pol	Mediaev. Philos. Pol.
Technoetic arts : a journal of speculative research	Technoetic Arts	Technoetic. Arts.
Bulletin. Societe scientifique d'hygiene alimentaire et d'alimentation rationnelle	Bull Soc Sci Hyg Aliment Aliment Ration Homme	Bull. Soc. Sci. Hyg. Aliment. Aliment. Ration. Homme.
Fortschritte der Hals-Nasen-Ohrenheilkunde	Fortschr Hals Nasen Ohrenheilkd	Fortschr. Hals. Nasen. Ohrenheilkd.
Pennsylvania heritage (1974)	Pa Herit	Pa. Herit.
Cancer immunology research	Cancer Immunol Res	Cancer. Immunol. Res.
Normale und pathologische Anatomie	Norm Pathol Anat (Stuttg)	Norm. Pathol. Anat. (Stuttg).
Mondo odontostomatologico	Mondo Odontostomatol	Mondo. Odontostomatol.
AB bookman's weekly : for the specialist book world	AB Bookm Wkly	AB. Bookm. Wkly.
Journal of market access & health policy	J Mark Access Health Policy	J. Mark. Access. Health. Policy.
Review of general psychology : journal of Division 1, of the American Psychological Association	Rev Gen Psychol	Rev. Gen. Psychol.
Molecular biology (Los Angeles, Calif.)	Mol Biol (Los Angel)	Mol. Biol. (Los. Angel).
De Stethoscoop	Stethosc	Stethosc.
Micron (Oxford, England : 1993)	Micron	Micron.
Revista juridica de la Universidad de Puerto Rico	Rev Jurid Univ P R	Rev. Jurid. Univ. P. R.
Tuberkulez i bolezni legkikh	Tuberk Biolezni Legkih	Tuberk. Biolezni. Legkih.
The Journal of applied behavioral science	J Appl Behav Sci	J. Appl. Behav. Sci.
Research in developmental disabilities	Res Dev Disabil	Res. Dev. Disabil.
Journal of ophthalmic & vision research	J Ophthalmic Vis Res	J. Ophthalmic. Vis. Res.
Health care week	Health Care Week	Health. Care. Week.
Sociological studies of children and youth	Sociol Stud Child Youth	Sociol. Stud. Child. Youth.
Stigma and health	Stigma Health	Stigma. Health.
Physical biology	Phys Biol	Phys. Biol.
Nan nu : men, women, and gender in early and Imperial China	Nan Nu	Nan. Nu.
Psychological issues	Psychol Issues	Psychol. Issues.
ASHRAE transactions	ASHRAE Trans	ASHRAE. Trans.
Experimentelle Medizin, Pathologie und Klinik	Exp Med Pathol Klin	Exp. Med. Pathol. Klin.
Science & medicine	Sci Med (Phila)	Sci. Med. (Phila).
Journal of the American Society for Horticultural Science. American Society for Horticultural Science	J Am Soc Hortic Sci	J. Am. Soc. Hortic. Sci.
Information, knowledge, systems management	Inf Knowl Syst Manage	Inf. Knowl. Syst. Manage.
L'Actualite economique	Actual Econ	Actual. Econ.
Savasta erbaslar	Savasta Erbaslar	Savasta. Erbaslar.
Journal of bisexuality	J Bisex	J. Bisex.
The Kumamoto medical journal	Kumamoto Med J	Kumamoto. Med. J.
Journal of critical realism	J Crit Realism	J. Crit. Realism.
Tracking report	Track Rep	Track. Rep.
Handchirurgie	Handchirurgie	Handchirurgie.
Revue d'Auvergne	Rev Auvergne	Rev. Auvergne.
Herpetological review	Herpetol Rev	Herpetol. Rev.
Journal of environment and health sciences	J Environ Health Sci	J. Environ. Health. Sci.
Pigment cell & melanoma research	Pigment Cell Melanoma Res	Pigment. Cell. Melanoma. Res.
Reconstruction surgery and traumatology	Reconstr Surg Traumatol	Reconstr. Surg. Traumatol.
Journal of the American Pharmacists Association : JAPhA	J Am Pharm Assoc (2003)	J. Am. Pharm. Assoc. (2003).
The British journal of dermatology and syphilis	Br J Dermatol Syph	Br. J. Dermatol. Syph.
Conductual : revista internacional de interconductismo y analisis de conducta	Conductual	Conductual.
Population index	Popul Index	Popul. Index.
ChemistrySelect	ChemistrySelect	ChemistrySelect.
Hepatitis monthly	Hepat Mon	Hepat. Mon.
Momentum	Momentum	Momentum.
Meccanica	Meccanica	Meccanica.
Hmong studies journal	Hmong Stud J	Hmong. Stud. J.
La Medecine infantile	Med Infant (Paris)	Med. Infant. (Paris).
Journal of information technology & software engineering	J Inf Technol Softw Eng	J. Inf. Technol. Softw. Eng.
Advertising age	Advert Age	Advert. Age.
The Indian journal of tuberculosis	Indian J Tuberc	Indian. J. Tuberc.
QA review : quality assurance news and views	QA Rev	QA. Rev.
Cancer progress	Cancer Prog	Cancer. Prog.
Journal of public health medicine	J Public Health Med	J. Public. Health. Med.
Health and technology	Health Technol (Berl)	Health. Technol. (Berl).
The Volta review	Volta Rev	Volta. Rev.
Political science quarterly	Polit Sci Q	Polit. Sci. Q.
Annals of tuberculosis	Ann Tuberc	Ann. Tuberc.
Multiple sclerosis (Houndmills, Basingstoke, England)	Mult Scler	Mult. Scler.
Biofeedback and self-regulation	Biofeedback Self Regul	Biofeedback. Self. Regul.
Journal of immigrant health	J Immigr Health	J. Immigr. Health.
BMC cardiovascular disorders	BMC Cardiovasc Disord	BMC. Cardiovasc. Disord.
Clinical cornerstone	Clin Cornerstone	Clin. Cornerstone.
California and western medicine	Cal West Med	Cal. West. Med.
Nihon Ika Daigaku zasshi	Nihon Ika Daigaku Zasshi	Nihon. Ika. Daigaku. Zasshi.
BioProcess international	Bioprocess Int	Bioprocess. Int.
Nephrology nurse	Nephrol Nurse	Nephrol. Nurse.
The Maryland nurse	Md Nurse	Md. Nurse.
The Bulletin of the Michigan Dental Hygienists' Association	Bull Mich Dent Hyg Assoc	Bull. Mich. Dent. Hyg. Assoc.
International review of law and economics	Int Rev Law Econ	Int. Rev. Law. Econ.
Post-Soviet geography and economics	Post Sov Geogr Econ	Post. Sov. Geogr. Econ.
Newsletter. American Academy of Pediatrics	Newsl Am Acad Pediatr	Newsl. Am. Acad. Pediatr.
Pure culture study of bacteria	Pure Cult Study Bact	Pure. Cult. Study. Bact.
Saarlandisches Aerzteblatt	Saarl Arztebl	Saarl. Arztebl.
The Annals of pharmacotherapy	Ann Pharmacother	Ann. Pharmacother.
Current clinical microbiology reports	Curr Clin Microbiol Rep	Curr. Clin. Microbiol. Rep.
Medisch contact	Med Contact (Bussum)	Med. Contact. (Bussum).
IMA fungus	IMA Fungus	IMA. Fungus.
Historicky casopis	Hist Casopis	Hist. Casopis.
Medical insight	Med Insight	Med. Insight.
Journal of mechanical design (New York, N.Y. : 1990)	J Mech Des N Y	J. Mech. Des. N. Y.
Gaceta CONASIDA	Gac CONASIDA	Gac. CONASIDA.
Classical antiquity	Class Antiq	Class. Antiq.
Symposium on geometry processing : [proceedings]. Symposium on Geometry Processing	Symp Geom Process	Symp. Geom. Process.
Pathologist	Pathologist	Pathologist.
Trodent	Trodent	Trodent.
Nihon Chokucho Komonbyo Gakkai zasshi	Nihon Chokucho Komonbyo	Nihon. Chokucho. Komonbyo.
International journal of chronic diseases	Int J Chronic Dis	Int. J. Chronic. Dis.
Journal of clinical urology	J Clin Urol	J. Clin. Urol.
Epidemiology and psychiatric sciences	Epidemiol Psychiatr Sci	Epidemiol. Psychiatr. Sci.
Journal of the National Cancer Institute. Monographs	J Natl Cancer Inst Monogr	J. Natl. Cancer. Inst. Monogr.
Jornal do medico	J Med (Oporto)	J. Med. (Oporto).
Journal of comparative family studies	J Comp Fam Stud	J. Comp. Fam. Stud.
Seminars in spine surgery	Semin Spine Surg	Semin. Spine. Surg.
Mikroskopie	Mikroskopie	Mikroskopie.
Deutsche Rentenversicherung	Dtsch Rentenversicher	Dtsch. Rentenversicher.
Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver	Dig Liver Dis	Dig. Liver. Dis.
Tanzania health research bulletin	Tanzan Health Res Bull	Tanzan. Health. Res. Bull.
Universal access in human-computer interaction : 5th international conference, UAHCI 2009, held as part of HCI International 2009, San Diego, CA, USA, July 19-24, 2009 : proceedings. International Conference on Universal Access in Human...	Univers Access Hum Comput Interact (2009)	Univers. Access. Hum. Comput. Interact. (2009).
Nicaragua Odontologica	Nicar Odontol	Nicar. Odontol.
Journal of behavioral and neuroscience research	J Behav Neurosci Res	J. Behav. Neurosci. Res.
Personnel	Personnel	Personnel.
IEEE intelligent systems	IEEE Intell Syst	IEEE. Intell. Syst.
The Ohio journal of science	Ohio J Sci	Ohio. J. Sci.
Drug resistance updates : reviews and commentaries in antimicrobial and anticancer chemotherapy	Drug Resist Updat	Drug. Resist. Updat.
Proceedings of the Royal College of Physicians of Edinburgh	Proc R Coll Physicians Edinb	Proc. R. Coll. Physicians. Edinb.
Lymphatic research and biology	Lymphat Res Biol	Lymphat. Res. Biol.
Analytical and quantitative cytology	Anal Quant Cytol	Anal. Quant. Cytol.
Journal of hematology & thrombosis	J Hematol Thromb	J. Hematol. Thromb.
Journal of risk and uncertainty	J Risk Uncertain	J. Risk. Uncertain.
Archivos de histologia normal y patologica	Arch Histol Norm Patol	Arch. Histol. Norm. Patol.
The Journal of antibiotics	J Antibiot (Tokyo)	J. Antibiot. (Tokyo).
Etudes inuit. Inuit studies	Etud Inuit	Etud. Inuit.
Recruit & retain : a monthly publication for professionals concerned with nurse recruitment and retention	Recruit Retain	Recruit. Retain.
Nephron. Experimental nephrology	Nephron Exp Nephrol	Nephron. Exp. Nephrol.
PM & R : the journal of injury, function, and rehabilitation	PM R	PM. R.
